name,x,y,z,day,time
BLK3DAT-1,1001.517,1008.672,-6.819,8/8/2019,4:50:39 PM
BLK3DAT2,1001.523,1009.082,-6.791,8/8/2019,4:51:09 PM
BLK3DAT3,1001.571,1008.623,-6.972,8/8/2019,4:51:39 PM
BLK3DAT4,1001.571,1008.791,-7.003,8/8/2019,4:52:11 PM
BLK3DAT5,1001.564,1008.967,-6.926,8/8/2019,4:52:41 PM
BLK3DAT6,1001.568,1009.098,-6.987,8/8/2019,4:53:09 PM
